iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy
PRT,Europe,Portugal,3322134.0,21182.0,326726.904,2083.218,10167923.0,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,82.05
QAT,Asia,Qatar,358083.0,670.0,122190.775,228.628,2930524.0,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,80.23
ROU,Europe,Romania,2765169.0,63931.0,144563.047,3342.313,19127772.0,85.129,43.0,17.85,11.69,23313.199,370.946,9.74,76.05
RUS,Europe,Russia,16619507.0,348467.0,113900.875,2388.199,145912022.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,72.58
RWA,Africa,Rwanda,129551.0,1458.0,9757.906,109.818,13276517.0,494.869,20.3,2.974,1.642,1854.211,191.375,4.28,69.02
SHN,Africa,Saint Helena,4.0,,656.276,,6095.0,,,,,,,,80.56
KNA,North America,Saint Kitts and Nevis,5536.0,42.0,103387.741,784.372,53546.0,212.865,,,,24654.385,,12.84,76.23
LCA,North America,Saint Lucia,22733.0,360.0,123280.243,1952.267,184401.0,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,76.2
SPM,North America,Saint Pierre and Miquelon,1102.0,1.0,190954.774,173.28,5771.0,,,,,,,,81.07
VCT,North America,Saint Vincent and the Grenadines,8316.0,106.0,74737.798,952.646,111269.0,281.787,31.8,7.724,4.832,10727.146,252.675,11.62,72.53
WSM,Oceania,Samoa,33.0,,164.881,,200144.0,69.413,22.0,5.606,3.564,6021.557,348.977,9.21,73.32
SMR,Europe,San Marino,14487.0,112.0,425962.952,3293.149,34010.0,556.667,,,,56861.47,,5.64,84.97
STP,Africa,Sao Tome and Principe,5939.0,72.0,26588.886,322.344,223364.0,212.841,18.7,2.886,2.162,3052.714,270.113,2.42,70.39
SAU,Asia,Saudi Arabia,747119.0,9006.0,21140.482,254.834,35340680.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,75.13
SEN,Africa,Senegal,85747.0,1961.0,4986.361,114.036,17196308.0,82.328,18.7,3.008,1.796,2470.58,241.219,2.42,67.94
SRB,Europe,Serbia,1923977.0,15405.0,279991.827,2241.853,6871547.0,80.291,41.2,17.366,,14048.881,439.415,10.08,76.0
